"yaw [deg], yaw_time [ms], yaw_crc"
"3.00,8719,8722.00"
"3.00,8734,8737.00"
"3.00,8749,8752.00"
"3.01,8764,8767.01"
"3.01,8779,8782.01"
"3.01,8794,8797.01"
"3.01,8809,8812.01"
"3.01,8824,8827.01"
"3.02,8839,8842.02"
"3.03,8854,8857.03"
"3.04,8869,8872.04"
"3.06,8884,8887.06"
"3.07,8899,8902.07"
"3.09,8914,8917.09"
"3.10,8929,8932.10"
"3.10,8944,8947.10"
"3.10,8959,8962.11"
"3.10,8974,8977.11"
"3.10,8989,8992.11"
"3.10,9004,9007.10"
"3.10,9019,9022.10"
"3.10,9034,9037.10"
"3.10,9049,9052.10"
"3.10,9064,9067.10"
"3.10,9079,9082.11"
"3.12,9094,9097.12"
"3.14,9109,9112.14"
"3.17,9124,9127.17"
"3.20,9139,9142.20"
"3.23,9154,9157.23"
"3.27,9169,9172.27"
"3.30,9184,9187.30"
"3.35,9199,9202.35"
"3.37,9214,9217.37"
"3.41,9229,9232.41"
"3.44,9244,9247.44"
"3.46,9259,9262.46"
"3.47,9274,9277.47"
"3.48,9289,9292.48"
"3.48,9304,9307.48"
"3.48,9319,9322.48"
"3.48,9334,9337.48"
"3.46,9349,9352.46"
"3.46,9364,9367.46"
"3.46,9379,9382.46"
"3.45,9394,9397.45"
"3.44,9409,9412.44"
"3.42,9424,9427.42"
"3.42,9439,9442.42"
"3.41,9454,9457.41"
"3.41,9469,9472.41"
"3.40,9484,9487.40"
"3.39,9499,9502.39"
"3.39,9514,9517.39"
"3.38,9529,9532.38"
"3.37,9544,9547.37"
"3.37,9559,9562.37"
"3.37,9574,9577.37"
"3.36,9589,9592.36"
"3.36,9604,9607.36"
"3.36,9619,9622.36"
"3.37,9634,9637.37"
"3.37,9649,9652.37"
"3.38,9664,9667.38"
"3.38,9679,9682.38"
"3.39,9694,9697.39"
"3.40,9709,9712.40"
"3.41,9724,9727.41"
"3.42,9739,9742.42"
"3.43,9754,9757.43"
"3.45,9769,9772.45"
"3.46,9784,9787.46"
"3.47,9799,9802.47"
"3.49,9814,9817.49"
"3.50,9829,9832.50"
"3.53,9844,9847.53"
"3.55,9859,9862.55"
"3.60,9874,9877.60"
"3.64,9889,9892.64"
"3.70,9904,9907.70"
"3.77,9919,9922.77"
"3.84,9934,9937.84"
"3.92,9949,9952.92"
"4.01,9964,9968.01"
"4.10,9979,9983.10"
"4.21,9994,9998.21"
"4.34,10009,10013.34"
"4.46,10024,10028.46"
"4.60,10039,10043.60"
"4.73,10054,10058.73"
"4.88,10069,10073.88"
"5.02,10084,10089.02"
"5.17,10099,10104.17"
"5.34,10114,10119.34"
"5.52,10129,10134.52"
"5.71,10144,10149.71"
"5.93,10159,10164.93"
"6.16,10174,10180.17"
"6.42,10189,10195.42"
"6.70,10204,10210.70"
"6.98,10219,10225.98"
"7.32,10234,10241.32"
"7.64,10249,10256.64"
"7.96,10264,10271.96"
"8.29,10279,10287.29"
"8.61,10294,10302.61"
"8.93,10309,10317.93"
